year, number-of-movies-released
1916,1
1920,1
1925,1
1929,1
1930,1
1932,1
1933,2
1934,1
1935,1
1936,2
1937,2
1938,2
1939,3
1940,5
1941,1
1942,2
1943,1
1944,1
1945,4
1946,3
1947,3
1948,3
1949,2
1950,1
1951,3
1952,4
1953,4
1954,4
1955,1
1956,3
1957,1
1958,1
1959,3
1960,3
1961,5
1962,4
1963,5
1964,5
1965,5
1966,4
1967,2
1968,6
1969,7
1970,9
1971,10
1972,6
1973,8
1974,8
1975,3
1976,8
1977,14
1978,12
1979,11
1980,20
1981,22
1982,27
1983,13
1984,24
1985,19
1986,20
1987,26
1988,28
1989,30
1990,27
1991,29
1992,29
1993,38
1994,45
1995,60
1996,86
1997,94
1998,100
1999,132
2000,136
2001,149
2002,157
2003,135
2004,156
2005,154
2006,165
2007,151
2008,163
2009,184
2010,167
2011,164
2012,173
2013,171
2014,187
2015,171
2016,77
